FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
0|Bruceville Cemetery|Cemetery|CO|08|Boulder|013|400058N|1051226W|40.0160994|-105.2071712|||||1598|5243|Niwot|05/04/2015|07/02/2015
399|Agua Sal Creek|Stream|AZ|04|Apache|001|362740N|1092842W|36.4611122|-109.4784394|362053N|1090915W|36.3480582|-109.1542662|1645|5397|Fire Dance Mesa|02/08/1980|
400|Agua Sal Wash|Valley|AZ|04|Apache|001|363246N|1093103W|36.546112|-109.5176069|362740N|1092842W|36.4611122|-109.4784394|1597|5239|Little Round Rock|02/08/1980|
401|Aguaje Draw|Valley|AZ|04|Apache|001|343417N|1091313W|34.5714281|-109.2203696|344308N|1085826W|34.7188|-108.9739|1750|5741|Kearn Lake|02/08/1980|01/14/2008
402|Arlington State Wildlife Area|Park|AZ|04|Maricopa|013|331455N|1124625W|33.2486547|-112.7735045|||||231|758|Spring Mountain|02/08/1980|
403|Bar X Wash|Stream|AZ|04|Graham|009|322815N|1095610W|32.4709038|-109.9361853|323048N|1095233W|32.5134024|-109.8759075|1339|4393|West of Greasewood Mountain|02/08/1980|
404|Bis Ii Ah Wash|Stream|AZ|04|Apache|001|355230N|1093239W|35.8750096|-109.5442721|354903N|1093001W|35.8175|-109.5002778|1799|5902|Beautiful Valley Well|02/08/1980|
405|Brawley Wash|Stream|AZ|04|Pima|019|322540N|1111726W|32.4278489|-111.2906617|315820N|1112329W|31.972302|-111.3914941|591|1939|West of Marana|02/08/1980|
406|Cement Trough Canyon|Valley|AZ|04|Navajo|017|335942N|1103045W|33.9950482|-110.5126118|340437N|1103304W|34.0769908|-110.5512265|1494|4902|Blue House Mountain|02/08/1980|
407|Corn Creek Wash|Stream|AZ|04|Coconino|005|351621N|1105537W|35.2725114|-110.9268068|351958N|1105231W|35.3327883|-110.8751392|1435|4708|Old Leupp|02/08/1980|
408|Coyote Wash|Valley|AZ|04|Navajo|017|352330N|1104447W|35.391677|-110.746526|352619N|1101501W|35.4386229|-110.2504052|1506|4941|Montezumas Chair NW|02/08/1980|
409|Ehrenberg Wash|Stream|AZ|04|La Paz|012|333643N|1143110W|33.6119689|-114.5193988|332952N|1142106W|33.497806|-114.351615|81|266|Blythe|02/08/1980|
410|Flattop Draw|Valley|AZ|04|Mohave|015|364740N|1130858W|36.7944292|-113.149387|364736N|1130016W|36.7933186|-113.0043796|1446|4744|White Pockets|02/08/1980|
411|Granite Wash|Stream|AZ|04|Mohave|015|352012N|1143517W|35.3366627|-114.5880229|351752N|1142506W|35.2977749|-114.418295|197|646|Spirit Mountain SE|02/08/1980|
412|Grayhorse Canyon|Valley|AZ|04|Greenlee|011|323155N|1090609W|32.5320196|-109.1025596|322502N|1090548W|32.4172995|-109.0967253|1272|4173|Round Mountain|02/08/1980|
413|Greenbush Draw|Valley|AZ|04|Cochise|003|312340N|1100552W|31.3945449|-110.0978549|312010N|1095430W|31.3362134|-109.9084068|1282|4206|Hereford|02/08/1980|
414|Kinlichee Creek|Stream|AZ|04|Apache|001|354423N|1092941W|35.7397355|-109.4948255|354543N|1091024W|35.7619591|-109.1734297|1970|6463|Kinlichee|02/08/1980|
415|Le Fevre Canyon|Valley|AZ|04|Coconino|005|365548N|1122228W|36.9299871|-112.3743602|364415N|1121256W|36.7374909|-112.2154565|1519|4984|Muggins Flat|02/08/1980|
416|Little Lithodendron Wash|Stream|AZ|04|Navajo|017|345822N|1095723W|34.9728028|-109.9565066|350555N|1095557W|35.0986328|-109.9326186|1588|5210|Carrizo Butte|02/08/1980|
417|Lukachukai Creek|Stream|AZ|04|Apache|001|363850N|1093611W|36.6472232|-109.6031645|362556N|1090923W|36.432224|-109.1564884|1543|5062|Dancing Rocks|02/08/1980|
418|Mail Station Draw|Valley|AZ|04|Apache|001|343315N|1094102W|34.5542019|-109.6839974|342707N|1094102W|34.4519818|-109.6839954|1735|5692|Hunt|02/08/1980|
419|Martinez Creek|Stream|AZ|04|Yavapai|025|340215N|1124723W|34.0375285|-112.789624|341423N|1124751W|34.2397474|-112.7974025|714|2342|Flores|02/08/1980|
